Transaction Date,Province,Predicted_Province_Revenue,Year,Month
2024-01-01,British Columbia,79.2145,2024,1
2024-01-01,Manitoba,77.56701,2024,1
2024-01-01,Newfoundland,71.64178,2024,1
2024-01-01,Saskatchewan,69.23891,2024,1
2024-01-02,British Columbia,88.29955,2024,1
2024-01-02,Manitoba,75.01251,2024,1
2024-01-02,Newfoundland,63.909245,2024,1
2024-01-02,Saskatchewan,81.49374,2024,1
2024-01-03,British Columbia,105.04949,2024,1
2024-01-03,Manitoba,74.80559,2024,1
2024-01-03,Newfoundland,64.10732,2024,1
2024-01-03,Saskatchewan,69.81801,2024,1
2024-01-04,British Columbia,76.82232,2024,1
2024-01-04,Manitoba,69.674675,2024,1
2024-01-04,Newfoundland,66.13475,2024,1
2024-01-04,Saskatchewan,74.502266,2024,1
2024-01-05,British Columbia,89.96965,2024,1
2024-01-05,Manitoba,75.57463,2024,1
2024-01-05,Newfoundland,63.297176,2024,1
2024-01-05,Saskatchewan,70.01858,2024,1
2024-01-06,British Columbia,29.796728,2024,1
2024-01-06,Manitoba,22.189945,2024,1
2024-01-06,Newfoundland,24.539423,2024,1
2024-01-06,Saskatchewan,48.057796,2024,1
2024-01-07,British Columbia,38.1146,2024,1
2024-01-07,Manitoba,30.520512,2024,1
2024-01-07,Newfoundland,32.698555,2024,1
2024-01-07,Saskatchewan,50.475803,2024,1
2024-01-08,British Columbia,90.0535,2024,1
2024-01-08,Manitoba,66.52002,2024,1
2024-01-08,Newfoundland,62.766865,2024,1
2024-01-08,Saskatchewan,64.66025,2024,1
2024-01-09,British Columbia,93.78267,2024,1
2024-01-09,Manitoba,83.397446,2024,1
2024-01-09,Newfoundland,83.542046,2024,1
2024-01-09,Saskatchewan,82.20411,2024,1
2024-01-10,British Columbia,98.38603,2024,1
2024-01-10,Manitoba,73.155655,2024,1
2024-01-10,Newfoundland,67.26888,2024,1
2024-01-10,Saskatchewan,70.65105,2024,1
2024-01-11,British Columbia,77.200264,2024,1
2024-01-11,Manitoba,77.89931,2024,1
2024-01-11,Newfoundland,82.25308,2024,1
2024-01-11,Saskatchewan,73.55129,2024,1
2024-01-12,British Columbia,81.880585,2024,1
2024-01-12,Manitoba,72.5961,2024,1
2024-01-12,Newfoundland,62.19301,2024,1
2024-01-12,Saskatchewan,72.34256,2024,1
2024-01-13,British Columbia,29.983194,2024,1
2024-01-13,Manitoba,24.961096,2024,1
2024-01-13,Newfoundland,40.39346,2024,1
2024-01-13,Saskatchewan,29.32545,2024,1
2024-01-14,British Columbia,27.062819,2024,1
2024-01-14,Manitoba,35.538742,2024,1
2024-01-14,Newfoundland,32.00224,2024,1
2024-01-14,Saskatchewan,35.323757,2024,1
2024-01-15,British Columbia,94.34272,2024,1
2024-01-15,Manitoba,57.42265,2024,1
2024-01-15,Newfoundland,62.490864,2024,1
2024-01-15,Saskatchewan,61.76651,2024,1
2024-01-16,British Columbia,86.45028,2024,1
2024-01-16,Manitoba,76.51245,2024,1
2024-01-16,Newfoundland,63.04733,2024,1
2024-01-16,Saskatchewan,73.35475,2024,1
2024-01-17,British Columbia,84.635796,2024,1
2024-01-17,Manitoba,72.05401,2024,1
2024-01-17,Newfoundland,63.465603,2024,1
2024-01-17,Saskatchewan,72.76813,2024,1
2024-01-18,British Columbia,96.70023,2024,1
2024-01-18,Manitoba,79.12708,2024,1
2024-01-18,Newfoundland,62.90074,2024,1
2024-01-18,Saskatchewan,76.69223,2024,1
2024-01-19,British Columbia,100.93709,2024,1
2024-01-19,Manitoba,71.834175,2024,1
2024-01-19,Newfoundland,64.12512,2024,1
2024-01-19,Saskatchewan,72.973145,2024,1
2024-01-20,British Columbia,26.483547,2024,1
2024-01-20,Manitoba,28.971792,2024,1
2024-01-20,Newfoundland,35.040424,2024,1
2024-01-20,Saskatchewan,28.122824,2024,1
2024-01-21,British Columbia,35.170994,2024,1
2024-01-21,Manitoba,36.803192,2024,1
2024-01-21,Newfoundland,33.992264,2024,1
2024-01-21,Saskatchewan,33.74542,2024,1
2024-01-22,British Columbia,87.2052,2024,1
2024-01-22,Manitoba,59.426003,2024,1
2024-01-22,Newfoundland,68.81252,2024,1
2024-01-22,Saskatchewan,63.440277,2024,1
2024-01-23,British Columbia,106.46104,2024,1
2024-01-23,Manitoba,73.332245,2024,1
2024-01-23,Newfoundland,67.22084,2024,1
2024-01-23,Saskatchewan,76.528534,2024,1
2024-01-24,British Columbia,98.204735,2024,1
2024-01-24,Manitoba,74.66517,2024,1
2024-01-24,Newfoundland,68.99847,2024,1
2024-01-24,Saskatchewan,75.37929,2024,1
2024-01-25,British Columbia,94.51436,2024,1
2024-01-25,Manitoba,72.863014,2024,1
2024-01-25,Newfoundland,67.53624,2024,1
2024-01-25,Saskatchewan,76.01727,2024,1
2024-01-26,British Columbia,108.050766,2024,1
2024-01-26,Manitoba,74.66517,2024,1
2024-01-26,Newfoundland,66.289894,2024,1
2024-01-26,Saskatchewan,76.01727,2024,1
2024-01-27,British Columbia,19.032648,2024,1
2024-01-27,Manitoba,19.602137,2024,1
2024-01-27,Newfoundland,34.556583,2024,1
2024-01-27,Saskatchewan,19.699137,2024,1
2024-01-28,British Columbia,29.996515,2024,1
2024-01-28,Manitoba,29.40484,2024,1
2024-01-28,Newfoundland,32.882164,2024,1
2024-01-28,Saskatchewan,32.0788,2024,1
2024-01-29,British Columbia,99.226,2024,1
2024-01-29,Manitoba,58.534554,2024,1
2024-01-29,Newfoundland,63.197964,2024,1
2024-01-29,Saskatchewan,68.259605,2024,1
2024-01-30,British Columbia,113.162605,2024,1
2024-01-30,Manitoba,62.7561,2024,1
2024-01-30,Newfoundland,52.322357,2024,1
2024-01-30,Saskatchewan,64.1082,2024,1
2024-01-31,British Columbia,89.05478,2024,1
2024-01-31,Manitoba,68.17304,2024,1
2024-01-31,Newfoundland,50.669678,2024,1
2024-01-31,Saskatchewan,63.470222,2024,1
2024-02-01,British Columbia,85.054276,2024,2
2024-02-01,Manitoba,62.357822,2024,2
2024-02-01,Newfoundland,58.076656,2024,2
2024-02-01,Saskatchewan,62.42525,2024,2
2024-02-02,British Columbia,96.64682,2024,2
2024-02-02,Manitoba,61.94532,2024,2
2024-02-02,Newfoundland,64.89478,2024,2
2024-02-02,Saskatchewan,58.453754,2024,2
2024-02-03,British Columbia,23.483496,2024,2
2024-02-03,Manitoba,26.493124,2024,2
2024-02-03,Newfoundland,28.990772,2024,2
2024-02-03,Saskatchewan,26.707062,2024,2
2024-02-04,British Columbia,27.378973,2024,2
2024-02-04,Manitoba,27.433832,2024,2
2024-02-04,Newfoundland,27.916325,2024,2
2024-02-04,Saskatchewan,27.155033,2024,2
2024-02-05,British Columbia,108.6942,2024,2
2024-02-05,Manitoba,54.358482,2024,2
2024-02-05,Newfoundland,69.52156,2024,2
2024-02-05,Saskatchewan,57.415817,2024,2
2024-02-06,British Columbia,112.4162,2024,2
2024-02-06,Manitoba,52.6423,2024,2
2024-02-06,Newfoundland,72.732315,2024,2
2024-02-06,Saskatchewan,60.23018,2024,2
2024-02-07,British Columbia,92.15864,2024,2
2024-02-07,Manitoba,53.24393,2024,2
2024-02-07,Newfoundland,64.1472,2024,2
2024-02-07,Saskatchewan,60.52058,2024,2
2024-02-08,British Columbia,99.05887,2024,2
2024-02-08,Manitoba,57.644016,2024,2
2024-02-08,Newfoundland,66.17393,2024,2
2024-02-08,Saskatchewan,65.0435,2024,2
2024-02-09,British Columbia,86.673454,2024,2
2024-02-09,Manitoba,54.755207,2024,2
2024-02-09,Newfoundland,63.930298,2024,2
2024-02-09,Saskatchewan,61.164726,2024,2
2024-02-10,British Columbia,27.706944,2024,2
2024-02-10,Manitoba,22.159744,2024,2
2024-02-10,Newfoundland,23.537918,2024,2
2024-02-10,Saskatchewan,23.024117,2024,2
2024-02-11,British Columbia,28.54593,2024,2
2024-02-11,Manitoba,22.84296,2024,2
2024-02-11,Newfoundland,20.592308,2024,2
2024-02-11,Saskatchewan,23.687368,2024,2
2024-02-12,British Columbia,117.2203,2024,2
2024-02-12,Manitoba,60.448368,2024,2
2024-02-12,Newfoundland,68.72368,2024,2
2024-02-12,Saskatchewan,62.686157,2024,2
2024-02-13,British Columbia,102.59487,2024,2
2024-02-13,Manitoba,58.598164,2024,2
2024-02-13,Newfoundland,71.77494,2024,2
2024-02-13,Saskatchewan,60.93506,2024,2
2024-02-14,British Columbia,99.16261,2024,2
2024-02-14,Manitoba,55.7189,2024,2
2024-02-14,Newfoundland,62.92659,2024,2
2024-02-14,Saskatchewan,60.51538,2024,2
2024-02-15,British Columbia,106.40025,2024,2
2024-02-15,Manitoba,56.988132,2024,2
2024-02-15,Newfoundland,64.13824,2024,2
2024-02-15,Saskatchewan,60.51538,2024,2
2024-02-16,British Columbia,101.664,2024,2
2024-02-16,Manitoba,52.004913,2024,2
2024-02-16,Newfoundland,61.93963,2024,2
2024-02-16,Saskatchewan,61.84675,2024,2
2024-02-17,British Columbia,26.715117,2024,2
2024-02-17,Manitoba,24.105589,2024,2
2024-02-17,Newfoundland,25.852749,2024,2
2024-02-17,Saskatchewan,26.444891,2024,2
2024-02-18,British Columbia,31.816278,2024,2
2024-02-18,Manitoba,22.682587,2024,2
2024-02-18,Newfoundland,23.346655,2024,2
2024-02-18,Saskatchewan,24.456314,2024,2
2024-02-19,British Columbia,97.15847,2024,2
2024-02-19,Manitoba,54.63545,2024,2
2024-02-19,Newfoundland,68.503845,2024,2
2024-02-19,Saskatchewan,60.703945,2024,2
2024-02-20,British Columbia,107.26475,2024,2
2024-02-20,Manitoba,52.80023,2024,2
2024-02-20,Newfoundland,71.53656,2024,2
2024-02-20,Saskatchewan,60.367714,2024,2
2024-02-21,British Columbia,104.33589,2024,2
2024-02-21,Manitoba,52.684814,2024,2
2024-02-21,Newfoundland,65.572914,2024,2
2024-02-21,Saskatchewan,61.815678,2024,2
2024-02-22,British Columbia,104.89706,2024,2
2024-02-22,Manitoba,53.494072,2024,2
2024-02-22,Newfoundland,69.19061,2024,2
2024-02-22,Saskatchewan,66.18338,2024,2
2024-02-23,British Columbia,102.664444,2024,2
2024-02-23,Manitoba,55.70419,2024,2
2024-02-23,Newfoundland,67.47355,2024,2
2024-02-23,Saskatchewan,65.28771,2024,2
2024-02-24,British Columbia,23.35531,2024,2
2024-02-24,Manitoba,24.939583,2024,2
2024-02-24,Newfoundland,21.772898,2024,2
2024-02-24,Saskatchewan,23.502954,2024,2
2024-02-25,British Columbia,26.908194,2024,2
2024-02-25,Manitoba,20.64793,2024,2
2024-02-25,Newfoundland,18.828897,2024,2
2024-02-25,Saskatchewan,18.758211,2024,2
2024-02-26,British Columbia,93.32543,2024,2
2024-02-26,Manitoba,55.10879,2024,2
2024-02-26,Newfoundland,71.59607,2024,2
2024-02-26,Saskatchewan,66.156166,2024,2
2024-02-27,British Columbia,114.91206,2024,2
2024-02-27,Manitoba,55.36692,2024,2
2024-02-27,Newfoundland,75.923004,2024,2
2024-02-27,Saskatchewan,63.758118,2024,2
2024-02-28,British Columbia,113.68506,2024,2
2024-02-28,Manitoba,55.20659,2024,2
2024-02-28,Newfoundland,67.07383,2024,2
2024-02-28,Saskatchewan,62.259983,2024,2
2024-02-29,British Columbia,110.44569,2024,2
2024-02-29,Manitoba,55.20659,2024,2
2024-02-29,Newfoundland,67.07383,2024,2
2024-02-29,Saskatchewan,62.259983,2024,2
2024-03-01,British Columbia,81.16396,2024,3
2024-03-01,Manitoba,61.69736,2024,3
2024-03-01,Newfoundland,61.230663,2024,3
2024-03-01,Saskatchewan,59.81254,2024,3
2024-03-02,British Columbia,29.198471,2024,3
2024-03-02,Manitoba,21.678684,2024,3
2024-03-02,Newfoundland,23.182995,2024,3
2024-03-02,Saskatchewan,20.124361,2024,3
2024-03-03,British Columbia,30.990623,2024,3
2024-03-03,Manitoba,18.795818,2024,3
2024-03-03,Newfoundland,17.402864,2024,3
2024-03-03,Saskatchewan,17.211351,2024,3
2024-03-04,British Columbia,82.544395,2024,3
2024-03-04,Manitoba,53.60958,2024,3
2024-03-04,Newfoundland,60.238625,2024,3
2024-03-04,Saskatchewan,62.357773,2024,3
2024-03-05,British Columbia,96.59981,2024,3
2024-03-05,Manitoba,47.8139,2024,3
2024-03-05,Newfoundland,70.60079,2024,3
2024-03-05,Saskatchewan,60.3618,2024,3
2024-03-06,British Columbia,84.01712,2024,3
2024-03-06,Manitoba,48.589024,2024,3
2024-03-06,Newfoundland,64.14344,2024,3
2024-03-06,Saskatchewan,60.96872,2024,3
2024-03-07,British Columbia,94.85247,2024,3
2024-03-07,Manitoba,48.589024,2024,3
2024-03-07,Newfoundland,64.14344,2024,3
2024-03-07,Saskatchewan,60.96872,2024,3
2024-03-08,British Columbia,86.655174,2024,3
2024-03-08,Manitoba,48.609108,2024,3
2024-03-08,Newfoundland,67.53916,2024,3
