Transaction Date,Predicted_Overall_Revenue,Year,Month
2024-01-01,284.00354,2024,1
2024-01-02,265.05273,2024,1
2024-01-03,301.25415,2024,1
2024-01-04,266.20306,2024,1
2024-01-05,297.2469,2024,1
2024-01-06,96.55247,2024,1
2024-01-07,100.1615,2024,1
2024-01-08,313.37152,2024,1
2024-01-09,286.4676,2024,1
2024-01-10,297.68,2024,1
2024-01-11,279.77237,2024,1
2024-01-12,304.53015,2024,1
2024-01-13,85.85783,2024,1
2024-01-14,81.13254,2024,1
2024-01-15,293.47058,2024,1
2024-01-16,312.56815,2024,1
2024-01-17,290.31226,2024,1
2024-01-18,325.90143,2024,1
2024-01-19,269.7449,2024,1
2024-01-20,76.92244,2024,1
2024-01-21,80.21454,2024,1
2024-01-22,324.29675,2024,1
2024-01-23,328.84528,2024,1
2024-01-24,317.83185,2024,1
2024-01-25,320.37045,2024,1
2024-01-26,285.3589,2024,1
2024-01-27,76.2858,2024,1
2024-01-28,60.563778,2024,1
2024-01-29,299.38037,2024,1
2024-01-30,300.58316,2024,1
2024-01-31,299.0104,2024,1
2024-02-01,283.6699,2024,2
2024-02-02,300.49887,2024,2
2024-02-03,78.75967,2024,2
2024-02-04,68.93007,2024,2
2024-02-05,277.0088,2024,2
2024-02-06,309.11536,2024,2
2024-02-07,316.7674,2024,2
2024-02-08,321.17432,2024,2
2024-02-09,286.23172,2024,2
2024-02-10,79.0136,2024,2
2024-02-11,72.064865,2024,2
2024-02-12,297.62845,2024,2
2024-02-13,298.68112,2024,2
2024-02-14,303.1608,2024,2
2024-02-15,313.66528,2024,2
2024-02-16,293.14337,2024,2
2024-02-17,79.1421,2024,2
2024-02-18,73.70674,2024,2
2024-02-19,281.65097,2024,2
2024-02-20,292.47144,2024,2
2024-02-21,310.85266,2024,2
2024-02-22,319.53192,2024,2
2024-02-23,318.82892,2024,2
2024-02-24,64.30739,2024,2
2024-02-25,52.162876,2024,2
2024-02-26,336.62125,2024,2
2024-02-27,326.3042,2024,2
2024-02-28,299.79855,2024,2
2024-02-29,302.98306,2024,2
2024-03-01,284.83337,2024,3
2024-03-02,72.067535,2024,3
2024-03-03,64.6923,2024,3
2024-03-04,286.15268,2024,3
2024-03-05,296.1291,2024,3
2024-03-06,287.56787,2024,3
2024-03-07,294.36285,2024,3
2024-03-08,318.67297,2024,3
2024-03-09,71.42505,2024,3
2024-03-10,70.12921,2024,3
2024-03-11,271.54276,2024,3
2024-03-12,310.67178,2024,3
2024-03-13,325.2331,2024,3
2024-03-14,306.91382,2024,3
2024-03-15,309.6965,2024,3
2024-03-16,76.38441,2024,3
2024-03-17,67.476456,2024,3
2024-03-18,296.90793,2024,3
2024-03-19,294.87195,2024,3
2024-03-20,292.5843,2024,3
