Year,Month,Province,Predicted_Province_Revenue
2024,1,British Columbia,2375.245
2024,1,Manitoba,1875.5609
2024,1,Newfoundland,1774.2969
2024,1,Saskatchewan,1926.0852
2024,2,British Columbia,2372.3435
2024,2,Manitoba,1362.2185
2024,2,Newfoundland,1603.7626
2024,2,Saskatchewan,1494.2811
2024,3,British Columbia,2247.0256
2024,3,Manitoba,1233.7374
2024,3,Newfoundland,1607.6368
2024,3,Saskatchewan,1510.8333
2024,4,British Columbia,2476.6338
2024,4,Manitoba,1235.6399
2024,4,Newfoundland,1656.5643
2024,4,Saskatchewan,1543.0563
2024,5,British Columbia,2484.7302
2024,5,Manitoba,1278.6709
2024,5,Newfoundland,1705.4263
2024,5,Saskatchewan,1607.0055
2024,6,British Columbia,2196.4697
2024,6,Manitoba,1178.3253
2024,6,Newfoundland,1585.2695
2024,6,Saskatchewan,1484.2943
2024,7,British Columbia,2466.0083
2024,7,Manitoba,1347.4211
2024,7,Newfoundland,1709.9583
2024,7,Saskatchewan,1596.5232
2024,8,British Columbia,2423.466
2024,8,Manitoba,1269.9119
2024,8,Newfoundland,1673.8981
2024,8,Saskatchewan,1570.2037
2024,9,British Columbia,2285.4512
2024,9,Manitoba,1194.9675
2024,9,Newfoundland,1607.0248
2024,9,Saskatchewan,1499.936
2024,10,British Columbia,2480.8733
2024,10,Manitoba,1285.9988
2024,10,Newfoundland,1713.1549
2024,10,Saskatchewan,1594.6996
2024,11,British Columbia,2262.7214
2024,11,Manitoba,1199.4796
2024,11,Newfoundland,1614.017
2024,11,Saskatchewan,1520.5546
2024,12,British Columbia,2329.1204
2024,12,Manitoba,1265.2617
2024,12,Newfoundland,1680.0378
2024,12,Saskatchewan,1573.7603
